block,sid,trial,rule_type,A_stim,B_stim,rule_sequence,test_type,X_stim,Y_stim,test_sequence,match,mismatch_type,response_key,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_test3,t_response
run2,001,49,ABB,star,rectangle,"star,rectangle,rectangle",other,circle,star,"circle,star,rectangle",0,random,1,0,1.1497539649990358,1.1033490058755113,1.3378691513833436,1.5,1.0792183799917603,1.0002431975232888,2.0,770.0139880003408,770.517761700321,772.1281880000606,773.9783756001852,775.9865096001886,777.5748079000041,779.083917400334,779.5887570003979
run2,001,50,ABB,triangle,rectangle,"triangle,rectangle,rectangle",other,triangle,star,"triangle,star,rectangle",0,random,2,1,0.4312337250003111,1.0966598800835201,1.2638426377593237,1.5,0.8617113015759965,1.131083828881402,2.0,785.7548971003853,786.2588317999616,787.8708532000892,789.6472656000406,791.6595951002091,793.031414099969,794.6761994003318,795.1806364003569
run2,001,51,ABB,circle,triangle,"circle,triangle,triangle",ABA,star,circle,"star,circle,star",0,rule_order,2,1,0.4444653299997299,0.9172748525244604,1.0062107815413324,1.5,0.7445310628663886,1.2109962325991823,2.0,800.6331046000123,801.1366294999607,802.5645747003146,804.083197100088,806.0945959002711,807.3471604003571,809.0690820999444,809.5739426002838
run2,001,52,ABA,circle,triangle,"circle,triangle,circle",other,circle,rectangle,"circle,rectangle,triangle",0,random,2,1,0.20789903499917273,0.7249588967392882,0.5,1.5,0.7169283664312422,0.6713368295771573,2.0,815.0421668002382,815.5460328999907,816.784382800106,817.7935399999842,819.8124481001869,821.0381582002155,822.2232429003343,822.7326959003694
run2,001,53,ABB,rectangle,circle,"rectangle,circle,circle",ABB,triangle,rectangle,"triangle,rectangle,rectangle",1,,1,1,0.08497500499925081,0.857975544429658,0.8897625795155173,1.5,1.0538884805798803,0.8508641827699186,2.0,827.958062000107,828.4611064000055,829.828028799966,831.2269196002744,833.2470301003195,834.808438600041,836.169965500012,836.674566200003
run2,001,54,ABA,star,circle,"star,circle,star",other,star,rectangle,"star,rectangle,triangle",0,random,2,1,0.22073308999915753,0.9280375650894183,0.9772284074769484,1.5,1.0134088103718932,0.8506182379712681,2.0,841.7788011003286,842.282966800034,843.723326400388,845.2153418003581,847.2283402001485,848.7510222001001,850.10968340002,850.6137614003383
run2,001,55,ABA,star,circle,"star,circle,star",other,rectangle,triangle,"rectangle,triangle,star",0,random,2,1,0.4014668099998744,0.8239752568354866,1.1836307319174837,1.5,0.9512064695705457,0.8792379091645471,2.0,855.8534295000136,856.3575552003458,857.6902294000611,859.3841375000775,861.3961317003705,862.8577212002128,864.246013100259,864.7516987002455
run2,001,56,ABB,rectangle,star,"rectangle,star,star",ABB,star,rectangle,"star,rectangle,rectangle",1,,1,1,0.18295319999924686,0.9766245989946863,0.7611613823737039,1.5,0.7176083012289816,1.3413645297434331,2.0,870.1693710000254,870.6734736999497,872.1635366003029,873.4345732000656,875.4483982003294,876.674525000155,878.5309159001336,879.0349552002735
run2,001,57,ABB,star,triangle,"star,triangle,triangle",other,rectangle,star,"rectangle,star,circle",0,random,2,1,0.18855714999972406,1.1872549138802155,0.6974922334639627,1.5,0.8490616808349866,1.3065514905261604,2.0,884.2456729002297,884.7541432003491,886.4538309001364,887.6633067000657,889.6752955000848,891.0366048002616,892.851416700054,893.3556490000337
run2,001,58,ABA,triangle,circle,"triangle,circle,triangle",ABB,rectangle,triangle,"rectangle,triangle,triangle",0,rule_order,2,1,0.19025488500028587,1.1677687287178766,1.1240481222119099,1.5,1.4730991047046016,0.8469095882107859,2.0,898.5658124000765,899.0704195001163,900.7487969002686,902.3878218000755,904.3998500001617,906.3879953003488,907.7444366002455,908.2491460000165
