sid,main_trial_idx,rule_type,acc_roll,rt_roll
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,30,ABB,0.9,0.5375843000001623
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,31,ABA,1.0,0.5375843000001623
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,32,ABA,1.0,0.547332049999568
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,33,ABA,1.0,0.574587099999917
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,34,ABB,1.0,0.5679995500004225
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,35,ABA,1.0,0.5679995500004225
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,36,ABB,1.0,0.5880296000004819
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,37,ABB,1.0,0.5880296000004819
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,38,ABB,1.0,0.589585700000498
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,39,ABA,1.0,0.5576143500002217
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,40,ABA,1.0,0.5549840000003314
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,41,ABA,1.0,0.5986408500002653
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,42,ABB,1.0,0.5549840000003314
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,43,ABA,1.0,0.5289004500000374
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,44,ABA,1.0,0.5549840000003314
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,45,ABA,1.0,0.5549840000003314
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,46,ABB,1.0,0.5501737000004141
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,47,ABA,1.0,0.5872370999995837
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,48,ABA,1.0,0.5688779000001887
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,49,ABA,1.0,0.5688779000001887
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,50,ABB,1.0,0.5872370999995837
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,51,ABA,1.0,0.5688779000001887
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,52,ABA,1.0,0.5872370999995837
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,53,ABA,1.0,0.6076923499995246
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,54,ABB,1.0,0.6076923499995246
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,55,ABA,0.9,0.6313462999987678
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,56,ABA,0.9,0.6608049999995274
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,57,ABB,0.9,0.6608049999995274
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,58,ABA,0.9,0.6608049999995274
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,59,ABA,0.9,0.6608049999995274
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,60,ABA,0.9,0.6593471999995018
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,61,ABB,0.9,0.6593471999995018
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,62,ABA,0.9,0.6077690999991319
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,63,ABB,0.9,0.6056791999999405
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,64,ABB,0.9,0.5621426500001689
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,65,ABA,1.0,0.5621426500001689
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,66,ABA,1.0,0.550849449999987
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,67,ABA,1.0,0.5621426500001689
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,68,ABB,1.0,0.6087704500005202
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,69,ABA,1.0,0.5621426500001689
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,70,ABA,1.0,0.5539407000005667
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,71,ABA,1.0,0.6035340000007636
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,72,ABB,1.0,0.6470705500005351
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,73,ABA,1.0,0.6035340000007636
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,74,ABB,1.0,0.5896137999998246
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,75,ABA,0.9,0.5896137999998246
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,76,ABB,0.9,0.627740800000538
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,77,ABB,0.9,0.5698268500000268
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,78,ABA,0.9,0.5521991499999785
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,79,ABB,0.8,0.5621918999995614
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,80,ABA,0.8,0.5960198000002492
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,81,ABA,0.8,0.5648630999994566
7ea7ce2b-65c3-4ff4-a9bd-ded1149f0b99,82,ABA,0.8,0.5564598999999362
